id,sdp,group,sus_G,sus_E,sus,inf_G,inf_E,inf,rec_G,rec_E,rec,r0_G,r0_E,r0
446,progeny,16,0.0966106,0.0151248,1.11821694129398,-0.127709,-0.146326,0.760305464103946,-0.0571508,-0.0471649,0.900940825501064,0.915532697545153,0.836636074948051,0.765967682560778
447,progeny,16,0.0885186,0.08573,1.19035145041096,-0.119501,-0.342195,0.630213895848277,-0.0432526,0.141219,1.10292572618152,0.928453481634173,0.891146894804176,0.827388437128419
448,progeny,16,0.0961867,0.0570936,1.16565166531729,-0.128736,-0.266178,0.673737978223583,-0.0505715,0.0500498,0.999478436061783,0.920239975516447,0.852966845805692,0.784934189300571
449,progeny,16,0.0599493,-0.0489633,1.01104656769369,-0.0801604,0.0711423,0.991022441104364,-0.0504524,-0.0471275,0.90702986697411,0.931775381795972,0.975360141782207,0.908816568497689
450,progeny,16,-0.00477484,-0.0474097,0.949153693857511,-0.0220584,0.0694757,1.04855948166635,-0.0673446,-0.045345,0.893427937112079,0.910120891948263,0.976989865572312,0.889178887879086
451,progeny,16,-0.00451003,-0.0468095,0.949975076495116,-0.0219595,0.0680614,1.0471811132758,-0.067134,-0.0449027,0.894011446678189,0.910643733599942,0.976626688259138,0.889358973729648
452,progeny,16,-0.00476312,-0.0475749,0.94900802892719,-0.022153,0.0709956,1.05005505906562,-0.0672173,-0.0459163,0.893031343158374,0.910161320416193,0.977755539308245,0.889915272701039
453,progeny,16,0.0396914,0.0997746,1.14965971662319,-0.0797037,-0.382731,0.629748528747914,-0.0646549,0.115309,1.0519589577407,0.900624200451013,0.845651959002997,0.761614619436907
454,progeny,16,-0.00465067,-0.0472293,0.949442821625636,-0.0222815,0.0701308,1.0490125572197,-0.0672167,-0.0455927,0.893320910856214,0.910147258532421,0.977564309027687,0.88972747590069
455,progeny,17,0.0427057,-0.0411716,1.00153527733338,-0.196562,0.046235,0.860426570929073,0.0204772,-0.101194,0.922454893682516,0.875133266193929,0.908345378415415,0.794923257844842
456,progeny,17,0.0466091,0.0542346,1.10610374423661,-0.199086,-0.214552,0.661240276925602,0.0330137,0.100503,1.14284035140962,0.887396663415398,0.941939341303337,0.835873828612278
457,progeny,17,0.0445276,0.00911699,1.05510953902717,-0.1967,-0.0880027,0.752237861394737,0.0272595,0.00606075,1.03388158680766,0.882573771412399,0.929763561596932,0.820584933080429
458,progeny,17,0.0465873,0.0543506,1.10620794411705,-0.199465,-0.214647,0.660926923305014,0.0330122,0.100848,1.1432329845012,0.887039735538562,0.942284154199164,0.835843486943004
459,progeny,17,0.0495009,0.124287,1.18980318180112,-0.201669,-0.406953,0.544100122689263,0.0423191,0.248352,1.33732466552692,0.895969416464429,0.966268048830105,0.865746619858532
460,progeny,17,0.041508,-0.0500145,0.991529577899764,-0.0155935,0.070701,1.05665419889661,0.0589747,-0.0479359,1.01109995236181,1.08859644353006,0.973118515499894,1.05933335510643
461,progeny,17,0.0411928,-0.0487608,0.992460565206084,-0.0151153,0.0676991,1.05399088281383,0.0591096,-0.0461415,1.013052550468,1.0889207847188,0.973163474613858,1.0596979344362
462,progeny,17,0.00612459,-0.0487935,0.958228597458368,0.0667765,0.0682542,1.14457192216996,0.0707541,-0.0463164,1.02473874789451,1.15448596158192,0.973501707685879,1.12389405509937
463,progeny,17,0.0649323,0.0262447,1.09546288503025,-0.0420734,-0.140995,0.832711196343272,0.0598667,0.0328084,1.09710522786806,1.08624370237801,0.921325486152106,1.00078400717308
464,progeny,17,0.00596679,-0.0493821,0.957513642487613,0.0664704,0.0702498,1.14650731089172,0.0706852,-0.0468025,1.02417017568281,1.15387101529783,0.974398618327606,1.12433032303448
465,progeny,17,-0.114739,-0.0470165,0.850649162836609,-0.0298924,0.0701795,1.04110963386491,-0.0525699,-0.0449975,0.907041204918309,0.821025344275072,0.978402147207973,0.803292959750895
466,progeny,17,-0.0684205,0.0827773,1.01446035382685,-0.0829173,-0.311049,0.674376782355072,-0.0522615,0.0735214,1.0214875017425,0.815789192433691,0.856629051054435,0.698828721774937
467,progeny,17,0.0494713,0.0814405,1.13986724058759,0.0115147,-0.31535,0.737982402143485,0.0708572,0.0803647,1.16325475567512,1.14092940750982,0.857662340065299,0.978532185494189
468,progeny,17,0.0556566,0.0619851,1.12484100862241,-0.204379,-0.239477,0.641557798498952,0.00403824,0.0663923,1.07297003834341,0.865295544901449,0.894849617468458,0.774309387352222
469,progeny,17,0.0541932,0.0569354,1.11753861307959,-0.202175,-0.223863,0.653091524171219,0.00375033,0.0607945,1.06667339614115,0.865687344216795,0.89930494262184,0.778516907419338
470,progeny,17,-0.114695,-0.0470178,0.850685486331363,-0.029562,0.0694553,1.04069972560733,-0.0524336,-0.0451694,0.907008914826181,0.821444749004275,0.977524522969961,0.802982386416584
471,progeny,17,0.0802455,0.070951,1.16322520937956,-0.0605187,-0.277062,0.713494393385581,0.0601003,0.0739847,1.14349001216494,1.08309978353214,0.876230320200961,0.949044870133956
472,progeny,17,0.0416332,-0.0487084,0.992949770302853,-0.0154853,0.0671506,1.05302323664749,0.0591192,-0.0458221,1.01338589959003,1.08900790186622,0.972991531819487,1.05959546660034
473,progeny,17,-0.114613,-0.0470787,0.850703435984493,-0.0297476,0.0705873,1.04168511003801,-0.0526217,-0.0453482,0.906676194296644,0.821205168515504,0.978397157369746,0.803464802492912
474,progeny,17,-0.0961739,-0.0801469,0.838348997835601,-0.054038,0.144156,1.09430340388863,-0.065238,-0.191968,0.773208916321614,0.806178658797182,0.879889541861665,0.709348170747704
475,progeny,17,0.0197075,-0.0494055,0.970738652358352,-0.167045,0.0725354,0.909819000321702,0.00225558,-0.0474774,0.955785445989445,0.864951433386944,0.975946509413242,0.844146332225968
476,progeny,17,0.0521826,0.0509167,1.10860148773824,-0.200109,-0.205089,0.666844762523141,0.00395039,0.0557401,1.06150794837067,0.865908520955451,0.906257134765095,0.784735775169768
