id	sus_g	inf_g	end_g	sus_e	inf_e	end_e	sus_pt	inf_pt	end_pt	r0_g	r0_pt
90	-1.0802	-0.116467	-0.148909	-0.893449	0.513917	-0.230202	-1.973649	0.39745	-0.379111	-1.345576	-1.95531
91	-1.06204	-0.122038	-0.146666	-0.81291	0.466514	-0.209529	-1.87495	0.344476	-0.356195	-1.330744	-1.886669
92	-0.449359	-0.530642	-0.0893851	1.85268	-1.62602	0.410282	1.403321	-2.156662	0.3208969	-1.0693861	-0.4324441
93	-1.06788	-0.119791	-0.147401	-0.841358	0.484281	-0.216484	-1.909238	0.36449	-0.363885	-1.335072	-1.908633
94	-1.06004	-0.122666	-0.146497	-0.807995	0.464426	-0.208181	-1.868035	0.34176	-0.354678	-1.329203	-1.880953
95	0.0545686	-0.575026	-0.0294691	-1.18902	0.684235	-0.306051	-1.1344514	0.109209	-0.3355201	-0.5499265	-1.3607625
96	0.106689	-0.592187	-0.0232895	-0.97128	0.559607	-0.24996	-0.864591	-0.0325800000000001	-0.2732495	-0.5087875	-1.1704205
97	1.12662	-0.932678	0.140881	5.09391	-2.94905	1.47285	6.22053	-3.881728	1.613731	0.334823	3.952533
98	0.0992643	-0.589336	-0.0240671	-1.0102	0.58101	-0.260115	-0.9109357	-0.00832599999999994	-0.2841821	-0.5141388	-1.2034438
99	0.101951	-0.590204	-0.0237912	-0.996643	0.573614	-0.256475	-0.894692	-0.01659	-0.2802662	-0.5120442	-1.1915482
100	-0.117577	-0.102041	0.0595345	-1.00741	0.578913	-0.259253	-1.124987	0.476872	-0.1997185	-0.1600835	-0.8478335
101	0.405975	-0.523738	0.11246	1.85764	-1.67811	0.44856	2.263615	-2.201848	0.56102	-0.00530300000000006	0.622787
102	0.613809	-0.521081	0.136314	2.34919	-1.82767	0.565714	2.962999	-2.348751	0.702028	0.229042	1.316276
103	-0.102581	-0.107052	0.0613465	-0.939762	0.540498	-0.241717	-1.042343	0.433446	-0.1803705	-0.1482865	-0.7892675
104	-0.0771884	-0.114375	0.0645826	-0.848304	0.488515	-0.218146	-0.9254924	0.37414	-0.1535634	-0.1269808	-0.7049158
105	0.092394	-0.213997	0.00035622	-0.104417	0.119669	-0.0220282	-0.012023	-0.094328	-0.02167198	-0.12124678	-0.12802298
106	0.158372	-0.227452	0.0157056	0.450842	-0.165821	0.151622	0.609214	-0.393273	0.1673276	-0.0533744	0.3832686
107	0.0252169	-0.260511	-0.0216052	-0.698625	0.283282	-0.229892	-0.6734081	0.022771	-0.2514972	-0.2568993	-0.9021343
108	0.0982729	-0.214708	0.00171526	-0.0644928	0.102028	-0.00901323	0.0337801	-0.11268	-0.00729797	-0.11471984	-0.08619787
109	0.0943939	-0.213615	0.000852715	-0.0775798	0.107566	-0.0132769	0.0168141	-0.106049	-0.012424185	-0.118368385	-0.101659085
110	-0.32201	-0.402428	-0.158451	-1.02392	0.516837	-0.296996	-1.34593	0.114409	-0.455447	-0.882889	-1.686968
111	-0.304815	-0.360256	-0.131158	0.0199306	0.0976288	0.0817721	-0.2848844	-0.2626272	-0.0493859	-0.796229	-0.5968975
112	-0.26532	-0.436694	-0.161013	-1.12961	0.520792	-0.362813	-1.39493	0.084098	-0.523826	-0.863027	-1.834658
113	-0.899111	-0.204502	-0.22147	-3.12822	1.80124	-0.805657	-4.027331	1.596738	-1.027127	-1.325083	-3.45772
114	0.280538	-0.593422	-0.0988948	0.885649	-0.632646	0.136747	1.166187	-1.226068	0.0378522	-0.4117788	-0.0220288000000001
115	0.476823	0.00621642	0.124669	-0.195341	0.222877	-0.0356443	0.281482	0.22909342	0.0890247	0.60770842	0.59960012
116	0.334771	0.0720148	0.138582	0.49631	-0.0567998	0.271301	0.831081	0.015215	0.409883	0.5453678	1.256179
117	1.05356	-0.0474749	0.20985	2.3291	-0.942701	0.671979	3.38266	-0.9901759	0.881829	1.2159351	3.2743131
